구분,문항 번호,질문 내용,변수명
개인,Q1306-1,디지털 직무의 AI 기반 품질 관리 시스템 사용 경험은?,p1306quality
개인,Q1306-2,사용 목적은?,p1306purpose
개인,Q1306-3,사용 시 장애 요인은?,p1306barrier
개인,Q1306-4,정부 품질 관리 시스템 정책 인식은?,p1306govpolicy
개인,Q1306-5,향후 정책 기대는?,p1306govhope
개인,Q1307-1,디지털 직무의 AI 기반 환경 모니터링 시스템 사용 경험은?,p1307env
개인,Q1307-2,사용 목적은?,p1307purpose
개인,Q1307-3,사용 시 장애 요인은?,p1307barrier
개인,Q1307-4,정부 환경 모니터링 정책 인식은?,p1307govpolicy
개인,Q1307-5,향후 정책 기대는?,p1307govhope
개인,Q1308-1,디지털 직무의 AI 기반 공공 안전 시스템 사용 경험은?,p1308safety
개인,Q1308-2,사용 목적은?,p1308purpose
개인,Q1308-3,사용 시 장애 요인은?,p1308barrier
개인,Q1308-4,정부 공공 안전 시스템 정책 인식은?,p1308govpolicy
개인,Q1308-5,향후 정책 기대는?,p1308govhope
개인,Q1309-1,디지털 직무의 AI 기반 스마트 헬스케어 시스템 사용 경험은?,p1309health
개인,Q1309-2,사용 목적은?,p1309purpose
개인,Q1309-3,사용 시 장애 요인은?,p1309barrier
개인,Q1309-4,정부 스마트 헬스케어 정책 인식은?,p1309govpolicy
개인,Q1309-5,향후 정책 기대는?,p1309govhope
