구분,문항 번호,질문 내용,변수명
개인,Q154-1,지속가능 소비 인식은?,p154sustainconsaware
개인,Q154-2,지속가능 제품 구매 경험은?,p154sustainbuy
개인,Q154-3,구매 이유는?,p154sustainwhy
개인,Q154-4,장애 요인은?,p154sustainbarrier
개인,Q154-5,향후 구매 의향은?,p154sustainwill
개인,Q155-1,공공교통 이용 경험은?,p155transuse
개인,Q155-2,이용 빈도는?,p155transfreq
개인,Q155-3,이용 만족도는?,p155transsat
개인,Q155-4,개선이 필요한 부분은?,p155transimprove
개인,Q155-5,향후 이용 의향은?,p155transwill
개인,Q156-1,전기차 관심 수준은?,p156evinterest
개인,Q156-2,구매 의향은?,p156evwill
개인,Q156-3,장애 요인은?,p156evbarrier
개인,Q156-4,지원 정책 인식은?,p156evpolicy
개인,Q156-5,기존 차량 대체 의향은?,p156evreplace
개인,Q157-1,자전거 이용 경험은?,p157bikeuse
개인,Q157-2,이용 빈도는?,p157bikefreq
개인,Q157-3,이용 목적은?,p157bikewhy
개인,Q157-4,이용 만족도는?,p157bikesat
개인,Q157-5,향후 이용 의향은?,p157bikewill
개인,Q158-1,걷기 실천 빈도는?,p158walkfreq
개인,Q158-2,걷기 목적은?,p158walkwhy
개인,Q158-3,장애 요인은?,p158walkbarrier
개인,Q158-4,도시환경 만족도는?,p158walkenvsat
개인,Q158-5,향후 실천 의향은?,p158walkwill
