구분,문항 번호,질문 내용,변수명
개인,Q93-1,자원봉사 참여 여부는?,p93voljoin
개인,Q93-2,참여 빈도는?,p93volfreq
개인,Q93-3,참여 동기는?,p93volwhy
개인,Q93-4,봉사 만족도는?,p93volsat
개인,Q93-5,향후 참여 의향은?,p93volplan
개인,Q94-1,문화체험 프로그램 참여 여부는?,p94cultexp
개인,Q94-2,체험 활동 내용은?,p94cultact
개인,Q94-3,활동 만족도는?,p94cultsatisfy
개인,Q94-4,참여 계기는?,p94culthow
개인,Q94-5,향후 참여 의향은?,p94cultwill
개인,Q95-1,온라인 커뮤니티 활동 여부는?,p95commjoin
개인,Q95-2,활동 커뮤니티 종류는?,p95commtype
개인,Q95-3,참여 빈도는?,p95commfreq
개인,Q95-4,활동 만족도는?,p95commsat
개인,Q95-5,활동 지속 의향은?,p95commplan
개인,Q96-1,경제교육 수강 경험 여부는?,p96finedu
개인,Q96-2,수강 경로는?,p96finedupath
개인,Q96-3,교육 만족도는?,p96finedusat
개인,Q96-4,수강 이유는?,p96fineduwhy
개인,Q96-5,향후 수강 의향은?,p96fineduwill
개인,Q97-1,기후변화 체감 여부는?,p97climatefeel
개인,Q97-2,체감 원인은?,p97climatewhy
개인,Q97-3,대응 노력 여부는?,p97climateact
개인,Q97-4,기후 관련 정보 획득 경로는?,p97climateinfo
개인,Q97-5,정책 만족도는?,p97climatesat
개인,Q98-1,지역 문화 행사 참여 여부는?,p98localevent
개인,Q98-2,참여한 행사 종류는?,p98eventtype
개인,Q98-3,행사 만족도는?,p98eventsat
개인,Q98-4,참여 계기 및 이유는?,p98eventwhy
개인,Q98-5,향후 행사 참여 의향은?,p98eventwill
