구분,문항 번호,질문 내용,변수명
개인,Q1006-1,디지털 직무의 성과 보상 체감도는?,p1006reward
개인,Q1006-2,보상 제도에 대한 만족도는?,p1006satisfaction
개인,Q1006-3,보상 개선 요구는?,p1006demand
개인,Q1006-4,정부 보상 정책 인식은?,p1006govpolicy
개인,Q1006-5,향후 정책 기대는?,p1006govhope
개인,Q1007-1,디지털 직무의 자기 개발 노력은?,p1007selfdev
개인,Q1007-2,주요 자기 개발 수단은?,p1007method
개인,Q1007-3,자기 개발 장애 요인은?,p1007barrier
개인,Q1007-4,정부 자기 개발 지원 정책 인식은?,p1007govpolicy
개인,Q1007-5,향후 정책 기대는?,p1007govhope
개인,Q1008-1,디지털 직무의 전문성 인식은?,p1008expertise
개인,Q1008-2,전문성 향상 전략은?,p1008strategy
개인,Q1008-3,전문성 저해 요인은?,p1008barrier
개인,Q1008-4,정부 전문성 정책 인식은?,p1008govpolicy
개인,Q1008-5,향후 정책 기대는?,p1008govhope
개인,Q1009-1,디지털 직무의 직무 가치 인식은?,p1009value
개인,Q1009-2,가치 실현 경험은?,p1009experience
개인,Q1009-3,가치 실현의 장애는?,p1009barrier
개인,Q1009-4,정부 직무 가치 지원 정책 인식은?,p1009govpolicy
개인,Q1009-5,향후 정책 기대는?,p1009govhope
