구분,문항 번호,질문 내용,변수명
개인,Q850-1,디지털 직무의 정보 윤리 인식은?,p850ethics
개인,Q850-2,정보 윤리 교육 경험은?,p850training
개인,Q850-3,정보 윤리 위반 경험은?,p850violation
개인,Q850-4,정부 정보 윤리 정책 인식은?,p850govpolicy
개인,Q850-5,향후 정책 기대는?,p850govhope
개인,Q851-1,디지털 직무의 사이버 보안 인식은?,p851cyber
개인,Q851-2,사이버 보안 사고 경험은?,p851incident
개인,Q851-3,보안 강화 노력은?,p851effort
개인,Q851-4,정부 사이버 보안 정책 인식은?,p851govpolicy
개인,Q851-5,향후 정책 기대는?,p851govhope
개인,Q852-1,디지털 직무의 프라이버시 보호 인식은?,p852privacy
개인,Q852-2,개인정보 유출 경험은?,p852leak
개인,Q852-3,프라이버시 보호 노력은?,p852effort
개인,Q852-4,정부 프라이버시 정책 인식은?,p852govpolicy
개인,Q852-5,향후 정책 기대는?,p852govhope
개인,Q853-1,디지털 직무의 인공지능 활용 경험은?,p853aiuse
개인,Q853-2,활용 목적은?,p853purpose
개인,Q853-3,활용 시 어려움은?,p853barrier
개인,Q853-4,정부 AI 활용 정책 인식은?,p853govpolicy
개인,Q853-5,향후 정책 기대는?,p853govhope
