구분,문항 번호,질문 내용,변수명
개인,Q1194-1,디지털 직무의 5G 네트워크 활용 경험은?,p1194net
개인,Q1194-2,5G 활용 목적은?,p1194purpose
개인,Q1194-3,활용 장애 요인은?,p1194barrier
개인,Q1194-4,정부 5G 정책 인식은?,p1194govpolicy
개인,Q1194-5,향후 정책 기대는?,p1194govhope
개인,Q1195-1,디지털 직무의 디지털 트윈 활용 경험은?,p1195twin
개인,Q1195-2,디지털 트윈 활용 목적은?,p1195purpose
개인,Q1195-3,활용 장애 요인은?,p1195barrier
개인,Q1195-4,정부 디지털 트윈 정책 인식은?,p1195govpolicy
개인,Q1195-5,향후 정책 기대는?,p1195govhope
개인,Q1196-1,디지털 직무의 XR(확장현실) 기술 활용 경험은?,p1196xr
개인,Q1196-2,XR 활용 목적은?,p1196purpose
개인,Q1196-3,XR 활용 장애 요인은?,p1196barrier
개인,Q1196-4,정부 XR 정책 인식은?,p1196govpolicy
개인,Q1196-5,향후 정책 기대는?,p1196govhope
개인,Q1197-1,디지털 직무의 스마트센서 활용 경험은?,p1197sensor
개인,Q1197-2,스마트센서 활용 목적은?,p1197purpose
개인,Q1197-3,활용 장애 요인은?,p1197barrier
개인,Q1197-4,정부 스마트센서 정책 인식은?,p1197govpolicy
개인,Q1197-5,향후 정책 기대는?,p1197govhope
