구분,문항 번호,질문 내용,변수명
개인,Q966-1,디지털 직무의 데이터 보안 인식은?,p966security
개인,Q966-2,보안 위협 경험은?,p966threat
개인,Q966-3,보안 대응 방식은?,p966response
개인,Q966-4,정부 보안 정책 인식은?,p966govpolicy
개인,Q966-5,향후 정책 기대는?,p966govhope
개인,Q967-1,디지털 직무의 윤리적 갈등 인식은?,p967conflict
개인,Q967-2,갈등 해결 사례는?,p967case
개인,Q967-3,갈등 예방 방법은?,p967prevention
개인,Q967-4,정부 윤리적 갈등 대응 정책 인식은?,p967govpolicy
개인,Q967-5,향후 정책 기대는?,p967govhope
개인,Q968-1,디지털 직무의 사회적 공정성 인식은?,p968fairness
개인,Q968-2,불공정 사례 경험은?,p968unfair
개인,Q968-3,공정성 확보를 위한 방안은?,p968solution
개인,Q968-4,정부 공정성 정책 인식은?,p968govpolicy
개인,Q968-5,향후 정책 기대는?,p968govhope
개인,Q969-1,디지털 직무의 직무 수행 자율성 인식은?,p969autonomy
개인,Q969-2,자율성 확대 필요성은?,p969need
개인,Q969-3,자율성 저해 요인은?,p969barrier
개인,Q969-4,정부 자율성 정책 인식은?,p969govpolicy
개인,Q969-5,향후 정책 기대는?,p969govhope
