구분,문항 번호,질문 내용,변수명
개인,Q639-1,디지털 사회에서의 직무 만족도는?,p639jobstat
개인,Q639-2,만족 요인은?,p639factor
개인,Q639-3,불만족 요인은?,p639barrier
개인,Q639-4,정부 직무 만족도 정책 인식은?,p639govpolicy
개인,Q639-5,향후 정책 기대는?,p639govhope
개인,Q640-1,디지털 전환이 직무 역량에 미친 영향은?,p640impact
개인,Q640-2,역량 향상 노력은?,p640effort
개인,Q640-3,역량 개발의 장애 요인은?,p640barrier
개인,Q640-4,정부 역량 개발 정책 인식은?,p640govpolicy
개인,Q640-5,향후 정책 기대는?,p640govhope
개인,Q641-1,디지털 기술 활용 직무 수행 경험은?,p641experience
개인,Q641-2,활용 기술은?,p641tech
개인,Q641-3,활용의 어려움은?,p641barrier
개인,Q641-4,정부 기술 활용 지원 정책 인식은?,p641govpolicy
개인,Q641-5,향후 정책 기대는?,p641govhope
개인,Q642-1,디지털 전환으로 인한 일자리 변화 경험은?,p642change
개인,Q642-2,변화에 대한 대응 노력은?,p642effort
개인,Q642-3,변화 대응의 어려움은?,p642barrier
개인,Q642-4,정부 일자리 변화 대응 정책 인식은?,p642govpolicy
개인,Q642-5,향후 정책 기대는?,p642govhope
개인,Q643-1,디지털 전환으로 인한 직무 스트레스 인식은?,p643stress
개인,Q643-2,스트레스 원인은?,p643cause
개인,Q643-3,스트레스 완화 노력은?,p643effort
개인,Q643-4,정부 스트레스 관리 정책 인식은?,p643govpolicy
개인,Q643-5,향후 정책 기대는?,p643govhope
