구분,문항 번호,질문 내용,변수명
개인,Q359-1,디지털 자원 접근성 인식은?,p359access
개인,Q359-2,접근의 제약 요인은?,p359limit
개인,Q359-3,접근성 향상 필요성은?,p359need
개인,Q359-4,정부 접근성 정책 인식은?,p359policy
개인,Q359-5,향후 기대되는 개선 사항은?,p359hope
개인,Q360-1,디지털 사회에서의 공정성 인식은?,p360fairness
개인,Q360-2,공정성 침해 경험은?,p360violate
개인,Q360-3,해결 시도 여부는?,p360solution
개인,Q360-4,정부 개입 기대는?,p360govhope
개인,Q360-5,향후 공정성 강화 방안은?,p360futureplan
개인,Q361-1,디지털 환경에서의 소외 경험은?,p361exclusion
개인,Q361-2,소외 원인은?,p361cause
개인,Q361-3,해소 노력 경험은?,p361effort
개인,Q361-4,정부 정책 체감도는?,p361govfeel
개인,Q361-5,향후 정책 기대는?,p361govhope
개인,Q362-1,디지털 기술 수용 태도는?,p362accept
개인,Q362-2,수용 결정 요인은?,p362reason
개인,Q362-3,거부 경험이 있다면 이유는?,p362reject
개인,Q362-4,기술 변화에 대한 전망은?,p362forecast
개인,Q362-5,정부 정책의 영향력 인식은?,p362govimpact
개인,Q363-1,디지털 기술이 삶에 미치는 영향은?,p363lifeimpact
개인,Q363-2,긍정적 측면은?,p363positive
개인,Q363-3,부정적 측면은?,p363negative
개인,Q363-4,영향을 줄이기 위한 전략은?,p363strategy
개인,Q363-5,정부 역할 기대는?,p363govhope
