구분,문항 번호,질문 내용,변수명
개인,Q124-1,노년기 준비 인식 수준은?,p124agingaware
개인,Q124-2,노년기 준비 활동 여부는?,p124agingprep
개인,Q124-3,준비 활동 내용은?,p124agingact
개인,Q124-4,준비 활동 만족도는?,p124agingsat
개인,Q124-5,추가 준비 계획은?,p124agingplan
개인,Q125-1,사회보장제도 인식 수준은?,p125ssaware
개인,Q125-2,이용 경험은?,p125ssexp
개인,Q125-3,제도 만족도는?,p125sssat
개인,Q125-4,이용 시 불편 사항은?,p125ssdiff
개인,Q125-5,개선 요구 사항은?,p125ssimprove
개인,Q126-1,저출산 문제 인식 수준은?,p126birthaware
개인,Q126-2,원인에 대한 인식은?,p126birthwhy
개인,Q126-3,정부 정책 인식은?,p126birthgov
개인,Q126-4,정책 효과에 대한 의견은?,p126birthresult
개인,Q126-5,추가 대책 필요성 인식은?,p126birthadd
개인,Q127-1,청년 정책 인식 수준은?,p127youthaware
개인,Q127-2,이용 경험은?,p127youthexp
개인,Q127-3,정책 만족도는?,p127youthsat
개인,Q127-4,이용 시 불편 사항은?,p127youthdiff
개인,Q127-5,개선 요구 사항은?,p127youthimprove
개인,Q128-1,고령사회 인식 수준은?,p128oldaware
개인,Q128-2,문제점에 대한 인식은?,p128oldproblem
개인,Q128-3,정부 대책 인식은?,p128oldgov
개인,Q128-4,정책 효과에 대한 평가?,p128oldeffect
개인,Q128-5,개인 대처 방안은?,p128oldplan
