구분,문항 번호,질문 내용,변수명
개인,Q1110-1,디지털 직무의 스마트워크 도입 인식은?,p1110smartwork
개인,Q1110-2,스마트워크의 장점은?,p1110advantage
개인,Q1110-3,스마트워크의 단점은?,p1110disadvantage
개인,Q1110-4,정부 스마트워크 정책 인식은?,p1110govpolicy
개인,Q1110-5,향후 정책 기대는?,p1110govhope
개인,Q1111-1,디지털 직무의 기술 의존도 인식은?,p1111techdep
개인,Q1111-2,기술 의존에 대한 불안 요인은?,p1111anxiety
개인,Q1111-3,기술 의존 완화 방안은?,p1111solution
개인,Q1111-4,정부 기술 정책 인식은?,p1111govpolicy
개인,Q1111-5,향후 정책 기대는?,p1111govhope
개인,Q1112-1,디지털 직무의 윤리적 이슈 인식은?,p1112ethic
개인,Q1112-2,윤리적 갈등 경험은?,p1112conflict
개인,Q1112-3,윤리적 문제 해결 방안은?,p1112solution
개인,Q1112-4,정부 윤리 정책 인식은?,p1112govpolicy
개인,Q1112-5,향후 정책 기대는?,p1112govhope
개인,Q1113-1,디지털 직무의 기술 격차 체감 여부는?,p1113gap
개인,Q1113-2,기술 격차 원인은?,p1113cause
개인,Q1113-3,기술 격차 해소 방안은?,p1113solution
개인,Q1113-4,정부 기술 격차 정책 인식은?,p1113govpolicy
개인,Q1113-5,향후 정책 기대는?,p1113govhope
