구분,문항 번호,질문 내용,변수명
개인,Q649-1,디지털 직무에 대한 성취감 수준은?,p649achievement
개인,Q649-2,성취감 요인은?,p649factor
개인,Q649-3,성취감 저해 요인은?,p649barrier
개인,Q649-4,정부 성취감 제고 정책 인식은?,p649govpolicy
개인,Q649-5,향후 정책 기대는?,p649govhope
개인,Q650-1,디지털 직무에서의 성장 가능성 인식은?,p650growth
개인,Q650-2,성장 기회 경험은?,p650opportunity
개인,Q650-3,성장 저해 요인은?,p650barrier
개인,Q650-4,정부 성장 기회 정책 인식은?,p650govpolicy
개인,Q650-5,향후 정책 기대는?,p650govhope
개인,Q651-1,디지털 직무로 인한 삶의 질 변화 인식은?,p651quality
개인,Q651-2,삶의 질 향상 요인은?,p651factor
개인,Q651-3,삶의 질 저해 요인은?,p651barrier
개인,Q651-4,정부 삶의 질 정책 인식은?,p651govpolicy
개인,Q651-5,향후 정책 기대는?,p651govhope
개인,Q652-1,디지털 직무에 대한 자부심 수준은?,p652pride
개인,Q652-2,자부심 형성 요인은?,p652factor
개인,Q652-3,자부심 저해 요인은?,p652barrier
개인,Q652-4,정부 자부심 고취 정책 인식은?,p652govpolicy
개인,Q652-5,향후 정책 기대는?,p652govhope
개인,Q653-1,디지털 기술에 대한 몰입 경험은?,p653immersion
개인,Q653-2,몰입 유발 요인은?,p653factor
개인,Q653-3,몰입 저해 요인은?,p653barrier
개인,Q653-4,정부 몰입 지원 정책 인식은?,p653govpolicy
개인,Q653-5,향후 정책 기대는?,p653govhope
