구분,문항 번호,질문 내용,변수명
개인,Q214-1,디지털 복지 서비스 인식은?,p214welfareaware
개인,Q214-2,이용 경험은?,p214welfareexp
개인,Q214-3,이용 만족도는?,p214welfaresat
개인,Q214-4,이용 장애 요인은?,p214welfarebarrier
개인,Q214-5,개선 희망 사항은?,p214welfarehope
개인,Q215-1,디지털 거버넌스 참여 인식은?,p215govaware
개인,Q215-2,참여 경험은?,p215govexp
개인,Q215-3,참여 만족도는?,p215govsat
개인,Q215-4,참여 확대 희망은?,p215govwill
개인,Q215-5,정부 역할 인식은?,p215govrole
개인,Q216-1,디지털 공공서비스 이용 경험은?,p216publicexp
개인,Q216-2,주 이용 서비스는?,p216publictype
개인,Q216-3,이용 만족도는?,p216publicsat
개인,Q216-4,이용 어려움은?,p216publicbarrier
개인,Q216-5,개선 희망 사항은?,p216publichope
개인,Q217-1,디지털 환경에서의 윤리 의식은?,p217ethicaware
개인,Q217-2,윤리 문제 경험 여부는?,p217ethicexp
개인,Q217-3,대응 방식은?,p217ethicreact
개인,Q217-4,윤리 교육 경험 여부는?,p217ethicedu
개인,Q217-5,추가 교육 희망은?,p217ethicwill
개인,Q218-1,디지털 헬스케어 이용 인식은?,p218healthaware
개인,Q218-2,이용 경험은?,p218healthexp
개인,Q218-3,이용 만족도는?,p218healthsat
개인,Q218-4,정보 보호 우려는?,p218healthworry
개인,Q218-5,향후 이용 계획은?,p218healthplan
