구분,문항 번호,질문 내용,변수명
개인,Q64-1,최근 1년간 공공도서관 이용 여부는?,p64libuse
개인,Q64-2,이용 빈도는?,p64libfreq
개인,Q64-3,이용 목적은?,p64libwhy
개인,Q64-4,이용 만족도는?,p64libsat
개인,Q64-5,도서관 개선 요구 사항은?,p64libimprove
개인,Q65-1,교육방송 시청 여부는?,p65eduview
개인,Q65-2,시청 콘텐츠는 무엇입니까?,p65edutype
개인,Q65-3,시청 시간대는?,p65edutime
개인,Q65-4,시청 동기는?,p65eduwhy
개인,Q65-5,교육방송 만족도는?,p65edusat
개인,Q66-1,온라인 학습 이용 경험은?,p66onlearn
개인,Q66-2,이용한 온라인 플랫폼은?,p66onplatform
개인,Q66-3,이용 만족도는?,p66onsat
개인,Q66-4,이용 시 어려움은?,p66ondiff
개인,Q66-5,향후 이용 의향은?,p66onwill
개인,Q67-1,문해력 향상 필요성 인식 여부는?,p67literacyneed
개인,Q67-2,문해력 수준은?,p67literacylevel
개인,Q67-3,향상 노력 여부는?,p67literacytry
개인,Q67-4,지원 프로그램 인식 여부는?,p67literacyaware
개인,Q67-5,참여 의향은?,p67literacywill
개인,Q68-1,독서모임 참여 여부는?,p68bookgroup
개인,Q68-2,참여 이유는?,p68bookwhy
개인,Q68-3,모임 활동 내용은?,p68bookcontent
개인,Q68-4,모임 만족도는?,p68booksat
개인,Q68-5,향후 참여 의향은?,p68bookwill
개인,Q69-1,1년간 도서 구매 여부는?,p69buybook
개인,Q69-2,구매한 도서 수는?,p69booknum
개인,Q69-3,주로 구매한 도서 유형은?,p69booktype
개인,Q69-4,구매처는 어디입니까?,p69bookstore
개인,Q69-5,구매 목적은?,p69bookwhy
