구분,문항 번호,질문 내용,변수명
개인,Q1062-1,디지털 직무의 동기 부여 요인은?,p1062motivation
개인,Q1062-2,동기 저해 요인은?,p1062barrier
개인,Q1062-3,동기 유지를 위한 전략은?,p1062strategy
개인,Q1062-4,정부 동기 부여 정책 인식은?,p1062govpolicy
개인,Q1062-5,향후 정책 기대는?,p1062govhope
개인,Q1063-1,디지털 직무의 스트레스 원인은?,p1063stress
개인,Q1063-2,스트레스 관리 방식은?,p1063manage
개인,Q1063-3,스트레스 완화에 효과적인 지원은?,p1063support
개인,Q1063-4,정부 스트레스 정책 인식은?,p1063govpolicy
개인,Q1063-5,향후 정책 기대는?,p1063govhope
개인,Q1064-1,디지털 직무의 학습 기회 접근성은?,p1064access
개인,Q1064-2,학습 프로그램 만족도는?,p1064satisfaction
개인,Q1064-3,학습 참여 장애 요인은?,p1064barrier
개인,Q1064-4,정부 학습 정책 인식은?,p1064govpolicy
개인,Q1064-5,향후 정책 기대는?,p1064govhope
개인,Q1065-1,디지털 직무의 미래 비전 인식은?,p1065vision
개인,Q1065-2,미래 비전 불확실성 요인은?,p1065uncertainty
개인,Q1065-3,비전 확립을 위한 제안은?,p1065suggestion
개인,Q1065-4,정부 비전 정책 인식은?,p1065govpolicy
개인,Q1065-5,향후 정책 기대는?,p1065govhope
