구분,문항 번호,질문 내용,변수명
개인,Q104-1,재난 대비 인식 수준은?,p104disaware
개인,Q104-2,재난 대비 교육 수강 여부는?,p104distrain
개인,Q104-3,교육 수강 경로는?,p104distwhere
개인,Q104-4,교육 만족도는?,p104distsat
개인,Q104-5,향후 교육 수강 의향은?,p104distwill
개인,Q105-1,장기 재난에 대한 불안 수준은?,p105longrisk
개인,Q105-2,재난 시 행동 계획 유무는?,p105planexist
개인,Q105-3,재난 시 정보 획득 경로는?,p105infochannel
개인,Q105-4,정부 대응 신뢰도는?,p105govtrust
개인,Q105-5,재난 보험 가입 여부는?,p105insure
개인,Q106-1,정부 정책 전반 만족도는?,p106govsat
개인,Q106-2,가장 만족하는 정책 분야는?,p106govbest
개인,Q106-3,개선이 필요한 정책 분야는?,p106govworst
개인,Q106-4,정부와의 소통 경험은?,p106govcomm
개인,Q106-5,소통 채널에 대한 만족도는?,p106govcomsat
개인,Q107-1,시민참여 활동 참여 여부는?,p107civicjoin
개인,Q107-2,참여 동기는?,p107civicwhy
개인,Q107-3,참여 경험 만족도는?,p107civicsat
개인,Q107-4,향후 참여 계획은?,p107civicplan
개인,Q107-5,참여 시 애로사항은?,p107civicdiff
개인,Q108-1,공공서비스 접근성은?,p108publicaccess
개인,Q108-2,서비스 만족도는?,p108publicsat
개인,Q108-3,불편 사항은?,p108publicdiff
개인,Q108-4,개선 요구 사항은?,p108publicimprove
개인,Q108-5,서비스 재이용 의향은?,p108publicwill
