구분,문항 번호,질문 내용,변수명
개인,Q369-1,디지털 기술 수용 경향은?,p369accept
개인,Q369-2,수용을 방해한 요인은?,p369barrier
개인,Q369-3,수용 촉진 요인은?,p369promote
개인,Q369-4,정부 수용 정책 체감도는?,p369govfeel
개인,Q369-5,향후 정부 정책 기대는?,p369govhope
개인,Q370-1,디지털 기술 이용 시간은?,p370time
개인,Q370-2,이용 목적은?,p370purpose
개인,Q370-3,이용의 어려움은?,p370difficulty
개인,Q370-4,도움 받은 경로는?,p370help
개인,Q370-5,향후 활용 계획은?,p370plan
개인,Q371-1,디지털 사회에 대한 전반적 인식은?,p371perception
개인,Q371-2,긍정적 이미지 요인은?,p371positive
개인,Q371-3,부정적 이미지 요인은?,p371negative
개인,Q371-4,이미지 개선 방안은?,p371improve
개인,Q371-5,정부 인식 개선 기대는?,p371govhope
개인,Q372-1,디지털 기술에 대한 교육 경험은?,p372eduexp
개인,Q372-2,교육 내용 만족도는?,p372edusat
개인,Q372-3,교육 참여 장애 요인은?,p372barrier
개인,Q372-4,교육 확대 필요성 인식은?,p372need
개인,Q372-5,정부 교육 정책 체감도는?,p372govfeel
개인,Q373-1,디지털 기술 수용 태도는?,p373attitude
개인,Q373-2,수용 태도의 변화 경험은?,p373change
개인,Q373-3,변화 요인은?,p373reason
개인,Q373-4,향후 태도 변화 예상은?,p373future
개인,Q373-5,정부 정책 영향력 인식은?,p373govimpact
