구분,문항 번호,질문 내용,변수명
개인,Q529-1,디지털 기술로 인한 직장 내 소통 변화 인식은?,p529communication
개인,Q529-2,소통 변화의 긍정적 영향은?,p529positive
개인,Q529-3,소통 문제 경험은?,p529problem
개인,Q529-4,정부 직장 소통 관련 정책 인식은?,p529govpolicy
개인,Q529-5,향후 정책 기대는?,p529govhope
개인,Q530-1,디지털 기술로 인한 고용 형태 변화 인식은?,p530employment
개인,Q530-2,비정형 고용 경험은?,p530nonstandard
개인,Q530-3,비정형 고용의 장단점 인식은?,p530perception
개인,Q530-4,정부 고용 안정 정책 인식은?,p530govpolicy
개인,Q530-5,향후 고용 정책 기대는?,p530govhope
개인,Q531-1,디지털 기술 기반 근무 경험 여부는?,p531experience
개인,Q531-2,원격근무 만족도는?,p531satisfaction
개인,Q531-3,원격근무의 문제점은?,p531problem
개인,Q531-4,정부 원격근무 정책 인식은?,p531govpolicy
개인,Q531-5,향후 관련 정책 기대는?,p531govhope
개인,Q532-1,디지털 기술과 노동시간 단축 인식은?,p532worktime
개인,Q532-2,노동시간 변화 경험은?,p532change
개인,Q532-3,단축된 시간 활용 방식은?,p532use
개인,Q532-4,정부 노동시간 정책 인식은?,p532govpolicy
개인,Q532-5,향후 정책 기대는?,p532govhope
개인,Q533-1,디지털 기술 기반 평생학습 참여 경험은?,p533learning
개인,Q533-2,학습 만족도는?,p533satisfaction
개인,Q533-3,학습의 어려움은?,p533difficulty
개인,Q533-4,정부 평생학습 정책 인식은?,p533govpolicy
개인,Q533-5,향후 정책 기대는?,p533govhope
