구분,문항 번호,질문 내용,변수명
개인,Q690-1,디지털 직무의 직업 안정성 인식은?,p690stability
개인,Q690-2,안정성 확보 요인은?,p690factor
개인,Q690-3,불안정성 요인은?,p690barrier
개인,Q690-4,정부 안정성 정책 인식은?,p690govpolicy
개인,Q690-5,향후 정책 기대는?,p690govhope
개인,Q691-1,디지털 직무의 기술 진보에 대한 태도는?,p691techattitude
개인,Q691-2,기술 진보 기대 요인은?,p691expect
개인,Q691-3,기술 진보 우려 요인은?,p691concern
개인,Q691-4,정부 기술 정책 인식은?,p691govpolicy
개인,Q691-5,향후 정책 기대는?,p691govhope
개인,Q692-1,디지털 직무의 직업 가치관 변화 인식은?,p692value
개인,Q692-2,가치관 변화 요인은?,p692factor
개인,Q692-3,변화의 부정적 영향은?,p692negative
개인,Q692-4,정부 가치관 변화 정책 인식은?,p692govpolicy
개인,Q692-5,향후 정책 기대는?,p692govhope
개인,Q693-1,디지털 직무의 기술 수용성 수준은?,p693acceptance
개인,Q693-2,수용 요인은?,p693factor
개인,Q693-3,수용 장애 요인은?,p693barrier
개인,Q693-4,정부 기술 수용 정책 인식은?,p693govpolicy
개인,Q693-5,향후 정책 기대는?,p693govhope
