구분,문항 번호,질문 내용,변수명
개인,Q782-1,디지털 직무의 직장 내 소통 수준은?,p782communication
개인,Q782-2,소통 방식은?,p782method
개인,Q782-3,소통의 장애 요인은?,p782barrier
개인,Q782-4,정부 소통 증진 정책 인식은?,p782govpolicy
개인,Q782-5,향후 정책 기대는?,p782govhope
개인,Q783-1,디지털 직무의 다양성 수용 인식은?,p783diversity
개인,Q783-2,다양성 관련 갈등 경험은?,p783conflict
개인,Q783-3,갈등 해결 방식은?,p783resolution
개인,Q783-4,정부 다양성 정책 인식은?,p783govpolicy
개인,Q783-5,향후 정책 기대는?,p783govhope
개인,Q784-1,디지털 직무의 성 평등 인식은?,p784gender
개인,Q784-2,성 평등 관련 이슈 경험은?,p784issue
개인,Q784-3,성 평등 이슈 대응은?,p784response
개인,Q784-4,정부 성 평등 정책 인식은?,p784govpolicy
개인,Q784-5,향후 정책 기대는?,p784govhope
개인,Q785-1,디지털 직무의 직장 문화 만족도는?,p785culture
개인,Q785-2,만족 요인은?,p785factor
개인,Q785-3,불만족 요인은?,p785barrier
개인,Q785-4,정부 직장 문화 정책 인식은?,p785govpolicy
개인,Q785-5,향후 정책 기대는?,p785govhope
