구분,문항 번호,질문 내용,변수명
개인,Q1290-1,디지털 직무의 AI 감정 인식 기술 활용 경험은?,p1290emotion
개인,Q1290-2,활용 목적은?,p1290purpose
개인,Q1290-3,활용 시 장애 요인은?,p1290barrier
개인,Q1290-4,정부 AI 감정 인식 정책 인식은?,p1290govpolicy
개인,Q1290-5,향후 정책 기대는?,p1290govhope
개인,Q1291-1,디지털 직무의 AI 기반 의사결정 시스템 사용 경험은?,p1291decision
개인,Q1291-2,사용 목적은?,p1291purpose
개인,Q1291-3,사용 시 장애 요인은?,p1291barrier
개인,Q1291-4,정부 의사결정 시스템 정책 인식은?,p1291govpolicy
개인,Q1291-5,향후 정책 기대는?,p1291govhope
개인,Q1292-1,디지털 직무의 자동 추천 시스템 사용 경험은?,p1292recom
개인,Q1292-2,사용 목적은?,p1292purpose
개인,Q1292-3,사용 시 장애 요인은?,p1292barrier
개인,Q1292-4,정부 추천 시스템 정책 인식은?,p1292govpolicy
개인,Q1292-5,향후 정책 기대는?,p1292govhope
개인,Q1293-1,디지털 직무의 AI 활용 업무 자율성 인식은?,p1293autonomy
개인,Q1293-2,AI 도입 전후 자율성 변화는?,p1293change
개인,Q1293-3,업무 통제감 인식은?,p1293control
개인,Q1293-4,정부 자율성 보장 정책 인식은?,p1293govpolicy
개인,Q1293-5,향후 정책 기대는?,p1293govhope
