구분,문항 번호,질문 내용,변수명
개인,Q1038-1,디지털 직무의 직무 책임 수준은?,p1038responsibility
개인,Q1038-2,책임 수행의 어려움은?,p1038barrier
개인,Q1038-3,책임 강화 필요성은?,p1038need
개인,Q1038-4,정부 직무 책임 정책 인식은?,p1038govpolicy
개인,Q1038-5,향후 정책 기대는?,p1038govhope
개인,Q1039-1,디지털 직무의 협업 문화 인식은?,p1039collab
개인,Q1039-2,협업 성공 요인은?,p1039success
개인,Q1039-3,협업 장애 요인은?,p1039barrier
개인,Q1039-4,정부 협업 정책 인식은?,p1039govpolicy
개인,Q1039-5,향후 정책 기대는?,p1039govhope
개인,Q1040-1,디지털 직무의 변화 수용 태도는?,p1040adapt
개인,Q1040-2,변화 수용 촉진 요인은?,p1040factor
개인,Q1040-3,변화 저항 요인은?,p1040resist
개인,Q1040-4,정부 변화 대응 정책 인식은?,p1040govpolicy
개인,Q1040-5,향후 정책 기대는?,p1040govhope
개인,Q1041-1,디지털 직무의 복지 제도 만족도는?,p1041welfare
개인,Q1041-2,복지 제도 개선 요구는?,p1041improve
개인,Q1041-3,복지 이용 경험은?,p1041use
개인,Q1041-4,정부 복지 정책 인식은?,p1041govpolicy
개인,Q1041-5,향후 정책 기대는?,p1041govhope
