구분,문항 번호,질문 내용,변수명
개인,Q254-1,디지털 격차 인식 수준은?,p254gapaware
개인,Q254-2,격차 원인은?,p254gapcause
개인,Q254-3,해소 필요 영역은?,p254gapneed
개인,Q254-4,정부 정책 인식은?,p254gapgov
개인,Q254-5,향후 개선 기대는?,p254gaphope
개인,Q255-1,디지털 공공서비스 접근 경험은?,p255publicexp
개인,Q255-2,주 이용 서비스는?,p255publictype
개인,Q255-3,접근 어려움은?,p255publicbarrier
개인,Q255-4,서비스 만족도는?,p255publicsat
개인,Q255-5,향후 이용 의향은?,p255publicwill
개인,Q256-1,디지털 교육 접근성 인식은?,p256eduaccess
개인,Q256-2,교육 기회 부족 체감은?,p256edugap
개인,Q256-3,교육 만족도는?,p256edusat
개인,Q256-4,교육 지원 필요성 인식은?,p256edusupport
개인,Q256-5,향후 교육 계획은?,p256eduplan
개인,Q257-1,디지털 소비 환경 만족도는?,p257shopsat
개인,Q257-2,불만족 요인은?,p257shopunsat
개인,Q257-3,소비 보호 제도 인식은?,p257shoppolicy
개인,Q257-4,제도 개선 희망 사항은?,p257shophope
개인,Q257-5,정부 역할 기대는?,p257shopgov
개인,Q258-1,디지털 사회 참여 경험은?,p258socexp
개인,Q258-2,참여 분야는?,p258soctype
개인,Q258-3,참여 만족도는?,p258socsat
개인,Q258-4,참여 확대 희망은?,p258socwill
개인,Q258-5,지속 참여 장애 요인은?,p258socbarrier
