구분,문항 번호,질문 내용,변수명
개인,Q1278-1,디지털 직무의 ESG 관련 기술 활용 경험은?,p1278esg
개인,Q1278-2,활용 목적은?,p1278purpose
개인,Q1278-3,활용 시 장애 요인은?,p1278barrier
개인,Q1278-4,정부 ESG 정책 인식은?,p1278govpolicy
개인,Q1278-5,향후 정책 기대는?,p1278govhope
개인,Q1279-1,디지털 직무의 3D 프린팅 기술 활용 경험은?,p12793d
개인,Q1279-2,활용 목적은?,p1279purpose
개인,Q1279-3,활용 시 장애 요인은?,p1279barrier
개인,Q1279-4,정부 3D 프린팅 정책 인식은?,p1279govpolicy
개인,Q1279-5,향후 정책 기대는?,p1279govhope
개인,Q1280-1,디지털 직무의 에지 컴퓨팅 활용 경험은?,p1280edge
개인,Q1280-2,활용 목적은?,p1280purpose
개인,Q1280-3,활용 시 장애 요인은?,p1280barrier
개인,Q1280-4,정부 에지 컴퓨팅 정책 인식은?,p1280govpolicy
개인,Q1280-5,향후 정책 기대는?,p1280govhope
개인,Q1281-1,디지털 직무의 양자 컴퓨팅 활용 경험은?,p1281quantum
개인,Q1281-2,활용 목적은?,p1281purpose
개인,Q1281-3,활용 시 장애 요인은?,p1281barrier
개인,Q1281-4,정부 양자 컴퓨팅 정책 인식은?,p1281govpolicy
개인,Q1281-5,향후 정책 기대는?,p1281govhope
