구분,문항 번호,질문 내용,변수명
개인,Q394-1,디지털 사회 참여 만족도는?,p394satisfaction
개인,Q394-2,만족 요인은?,p394reason
개인,Q394-3,불만족 요인은?,p394dissatisfaction
개인,Q394-4,참여 개선 방안은?,p394improve
개인,Q394-5,정부 참여 활성화 정책 인식은?,p394govpolicy
개인,Q395-1,디지털 사회에 대한 불안감 수준은?,p395anxiety
개인,Q395-2,불안감의 원인은?,p395cause
개인,Q395-3,불안 해소 노력은?,p395effort
개인,Q395-4,정부 대응 체감도는?,p395govfeel
개인,Q395-5,향후 정부 역할 기대는?,p395govhope
개인,Q396-1,디지털 기술로 인한 일상 변화 체감도는?,p396change
개인,Q396-2,긍정적 변화 사례는?,p396positive
개인,Q396-3,부정적 변화 사례는?,p396negative
개인,Q396-4,변화에 대한 적응 방법은?,p396adapt
개인,Q396-5,정부 대응 정책 만족도는?,p396govsat
개인,Q397-1,디지털 기술을 통한 정보 활용 정도는?,p397usage
개인,Q397-2,정보 활용의 장점은?,p397advantage
개인,Q397-3,정보 활용의 단점은?,p397disadvantage
개인,Q397-4,정보 활용 개선 방안은?,p397improve
개인,Q397-5,정부 정보 제공 정책 인식은?,p397govpolicy
개인,Q398-1,디지털 교육 접근 경험은?,p398access
개인,Q398-2,교육 접근의 용이성은?,p398ease
개인,Q398-3,접근 장애 요인은?,p398barrier
개인,Q398-4,접근 확대 필요성 인식은?,p398need
개인,Q398-5,정부 접근성 정책 체감도는?,p398govfeel
