구분,문항 번호,질문 내용,변수명
개인,Q28-1,코로나19로 인한 생활 변화는 있었습니까?,p28covidimpact
개인,Q28-2,코로나 이후 근무 형태 변화는?,p28workchange
개인,Q28-3,코로나 이후 소득 변화는?,p28incomechange
개인,Q28-4,건강관리 습관 변화는?,p28healthchange
개인,Q28-5,비대면 소비 경험은?,p28nonfacebuy
개인,Q29-1,1주일 평균 운동 시간은?,p29exercise
개인,Q29-2,운동 장소는 주로 어디입니까?,p29place
개인,Q29-3,운동 종류는 무엇입니까?,p29type
개인,Q29-4,운동 이유는 무엇입니까?,p29reason
개인,Q29-5,운동 시 어려움은?,p29obstacle
개인,Q30-1,디지털 기기 사용 능력은?,p30digitalskill
개인,Q30-2,디지털 기기 학습 방법은?,p30learnway
개인,Q30-3,디지털 서비스 접근성은?,p30access
개인,Q30-4,디지털 기기 사용 시간은?,p30usetime
개인,Q30-5,디지털 격차 체감 여부는?,p30gapfeel
개인,Q31-1,최근 1년간 취미생활 변화는?,p31hobbychange
개인,Q31-2,취미활동 참여 빈도는?,p31hobbyfreq
개인,Q31-3,선호하는 취미 활동은?,p31hobbytype
개인,Q31-4,취미 활동 장소는?,p31hobbyplace
개인,Q31-5,취미활동의 만족도는?,p31hobbysat
개인,Q32-1,친환경 소비 실천 여부는?,p32ecoact
개인,Q32-2,친환경 소비 실천 이유는?,p32ecowhy
개인,Q32-3,친환경 제품 구매 기준은?,p32ecocrit
개인,Q32-4,친환경 정보 획득 경로는?,p32ecoinfo
개인,Q32-5,친환경 제품 가격에 대한 인식은?,p32ecoprice
개인,Q33-1,에너지 절약 실천 여부는?,p33energy
개인,Q33-2,절약하는 에너지 종류는?,p33type
개인,Q33-3,에너지 절약 이유는?,p33reason
개인,Q33-4,절약 방법은 무엇입니까?,p33method
개인,Q33-5,향후 실천 의향은?,p33will
