구분,문항 번호,질문 내용,변수명
개인,Q2-7,직장에서의 복리후생 만족도는?,p02benefit
개인,Q2-8,근로계약서 작성 여부는?,p02contract
개인,Q2-9,사회보험 가입 여부는?,p02insure
개인,Q2-10,퇴직금 수령 여부는?,p02retirepay
개인,Q2-11,노동조합 가입 여부는?,p02union
개인,Q3-1,과거 1년간 이직 경험이 있습니까?,p03jobchange
개인,Q3-2,이직 사유는 무엇입니까?,p03reason
개인,Q3-3,직장 구직 경로는?,p03seekway
개인,Q3-4,현재 구직 중입니까?,p03seeking
개인,Q3-5,희망 직종은?,p03wishjob
개인,Q3-6,희망 근무형태는?,p03wishform
개인,Q3-7,희망 근무지역은?,p03wishloc
개인,Q3-8,희망 임금 수준은?,p03wishpay
개인,Q3-9,구직활동 기간은?,p03seekdur
개인,Q4-1,현재 교육 중입니까?,p04study
개인,Q4-2,교육 목적은 무엇입니까?,p04purpose
개인,Q4-3,교육 기관은 어디입니까?,p04org
개인,Q4-4,교육 내용은 무엇입니까?,p04content
개인,Q4-5,교육 비용은 얼마입니까?,p04cost
개인,Q4-6,교육 시간은 얼마나 됩니까?,p04time
개인,Q4-7,교육 만족도는?,p04satisfy
개인,Q5-1,자영업 여부는?,p05selfemp
개인,Q5-2,사업체 업종은?,p05biztype
개인,Q5-3,사업체 규모는?,p05bizsize
개인,Q5-4,사업 개시 시점은?,p05bizstart
개인,Q5-5,사업체 위치는?,p05bizloc
개인,Q5-6,종업원 수는?,p05employee
개인,Q5-7,사업 수익은?,p05income
개인,Q5-8,창업 자금은 어떻게 조달했습니까?,p05fund
개인,Q5-9,창업시 가장 어려웠던 점은?,p05difficulty
개인,Q5-10,향후 사업계획은?,p05plan
