,구분,문항 번호,질문 내용,변수명
0,개인,Q1-1,성별은 무엇입니까?,p01sex
1,개인,Q1-2,생년은 어떻게 되십니까?,p01birthy
2,개인,Q1-3,현재 배우자가 있으십니까?,p01marsta
3,개인,Q1-4,귀하의 최종 학력은?,p01educlv
4,개인,Q1-5,졸업하신 학교는 어디입니까?,p01edusch
5,개인,Q1-6,현재의 직업은 무엇입니까?,p01job
6,개인,Q1-7,근로 형태는 어떠합니까?,p01wrktyp
7,개인,Q1-8,현재 직장의 근속 연수는?,p01wrkyear
8,개인,Q1-9,직장에서의 월 소득은?,p01income
9,개인,Q1-10,직무 만족도는 어떠합니까?,p01jobsat
10,개인,Q2-1,주당 평균 근무시간은?,p02workhr
11,개인,Q2-2,고용형태는 무엇입니까?,p02empstat
12,개인,Q2-3,직장 규모는 얼마입니까?,p02co_size
13,개인,Q2-4,산업 분류는?,p02indust
14,개인,Q2-5,직무 유형은?,p02duties
15,개인,Q2-6,통근 수단은?,p02commut
16,가구,QH1-1,가구주 성별은?,h01sex
17,가구,QH1-2,가구주 연령은?,h01birthy
18,가구,QH1-3,가구주 교육수준은?,h01educlv
19,가구,QH2-1,가구 총소득은 얼마입니까?,h01famtot
20,가구,QH2-2,가구 총지출은 얼마입니까?,h01famexp
21,가구,QH2-3,주거형태는 무엇입니까?,h01house
22,가구,QH2-4,주택 소유 여부는?,h01houseow
23,가구,QH2-5,주택 규모는 얼마입니까?,h01houarea
24,가구,QH3-1,차량 보유 여부는?,h01carow
25,가구,QH3-2,차량 수는 몇 대입니까?,h01carcnt
26,가구,QH3-3,차량 연식은?,h01caryear
27,가구,QH4-1,가구 부채는 얼마입니까?,h01debt
28,가구,QH4-2,가구 자산은 얼마입니까?,h01asset
29,가구,QH4-3,가구 순자산은 얼마입니까?,h01netasset
